Volatility 3 Framework 2.26.2

Offset	Name

0xc90c0348bed0	\Windows\System32\en-US\AudioEndpointBuilder.dll.mui
0xc90c03678c20	\Windows\System32\drivers\kdnic.sys
0xc90c03ad2950	\Windows\System32\drivers\null.sys
0xc90c03ad31f0	\Windows\System32\drivers\vmrawdsk.sys
0xc90c03ad3360	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_fc93ae411c02f280\BasicDisplay.sys
0xc90c03ad34d0	\$Directory
0xc90c03ad3640	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_ed345fdc37d65139\BasicRender.sys
0xc90c03ad3920	\$Directory
0xc90c03ad3c00	\Windows\System32\drivers\tbs.sys
0xc90c03ad48f0	\Windows\System32\drivers\msfs.sys
0xc90c03ad55e0	\Windows\System32\drivers\ws2ifsl.sys
0xc90c03ad5ba0	\Windows\System32\drivers\tdx.sys
0xc90c03ad5e80	\Windows\System32\drivers\cimfs.sys
0xc90c03ed5c50	\Windows\System32\drivers\luafv.sys
0xc90c03ed7630	\$Directory
0xc90c03ed7ed0	\$Directory
0xc90c03ed8320	\Windows\System32\drivers\wcifs.sys
0xc90c03ed92f0	\Windows\System32\drivers\storqosflt.sys
0xc90c03ed9a20	\Windows\System32\drivers\cldflt.sys
0xc90c03edb570	\Windows\System32\drivers\bindflt.sys
0xc90c060ab380	\$Extend\$RmMetadata\$Repair
0xc90c060ab4f0	\$Mft::$BITMAP
0xc90c060ab660	\$LogFile
0xc90c060ab7d0	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0xc90c060ab940	\$Mft
0xc90c060abab0	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA
0xc90c060abc20	\$Extend\$RmMetadata\$Repair:$Verify:$DATA
0xc90c060ac070	\:$I30:$INDEX_ALLOCATION
0xc90c060ac1e0	\$Secure:$SDS:$DATA
0xc90c060ac350	\$MftMirr
0xc90c060ac4c0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0xc90c060ac630	\$Secure:$SII:$INDEX_ALLOCATION
0xc90c060ac7a0	\$Extend:$I30:$INDEX_ALLOCATION
0xc90c060aca80	\Windows\System32\drivers\USBHUB3.SYS
0xc90c060acbf0	\$BitMap
